日付,all,Mon,Tue,Wed,Thu,Fri,Num_Mon,Num_Tue,Num_Wed,Num_Thu,Num_Fri
14:01:00,1.2915422885572125,1.1447368421052633,1.1411764705882355,1.138888888888889,1.162857142857143,1.3,38,34,36,35,29
14:02:00,1.2701492537313426,1.1157894736842102,1.1764705882352942,1.1416666666666668,1.1685714285714288,1.2655172413793105,38,34,36,35,29
14:03:00,1.2653465346534645,1.1210526315789475,1.1685714285714286,1.1583333333333339,1.2085714285714284,1.2931034482758625,38,35,36,35,29
14:04:00,1.2772277227722766,1.1973684210526319,1.2,1.1722222222222227,1.1657142857142861,1.2533333333333336,38,35,36,35,30
14:05:00,1.2747524752475234,1.2210526315789474,1.2171428571428573,1.1472222222222226,1.1771428571428575,1.3166666666666669,38,35,36,35,30
14:06:00,1.2886138613861375,1.3368421052631578,1.2400000000000004,1.1361111111111113,1.1457142857142857,1.2600000000000002,38,35,36,35,30
14:07:00,1.2985148514851483,1.3526315789473684,1.1571428571428573,1.1361111111111113,1.1514285714285717,1.3099999999999998,38,35,36,35,30
14:08:00,1.2709359605911323,1.2000000000000002,1.2,1.127777777777778,1.1600000000000001,1.2266666666666668,38,35,36,35,30
14:09:00,1.2600985221674867,1.1447368421052633,1.1171428571428572,1.1333333333333335,1.1685714285714286,1.2900000000000003,38,35,36,35,30
14:10:00,1.2544554455445538,1.1815789473684213,1.1485714285714284,1.1111111111111116,1.1142857142857145,1.3299999999999998,38,35,36,35,30
14:11:00,1.2586206896551717,1.186842105263158,1.1342857142857143,1.1500000000000004,1.1771428571428573,1.293548387096774,38,35,36,35,31
14:12:00,1.2911330049261074,1.223684210526316,1.217142857142857,1.1194444444444445,1.1885714285714288,1.3225806451612907,38,35,36,35,31
14:13:00,1.2605911330049258,1.1578947368421055,1.1742857142857144,1.1305555555555555,1.1371428571428575,1.3032258064516131,38,35,36,35,31
14:14:00,1.2694581280788162,1.1684210526315792,1.142857142857143,1.1277777777777778,1.1714285714285715,1.3000000000000003,38,35,36,35,31
14:15:00,1.2862068965517235,1.178947368421053,1.1285714285714288,1.1361111111111115,1.1885714285714286,1.3193548387096776,38,35,36,35,31
14:16:00,1.2999999999999994,1.1526315789473685,1.1200000000000003,1.1500000000000001,1.202857142857143,1.3903225806451616,38,35,36,35,31
14:17:00,1.2871921182266002,1.142105263157895,1.122857142857143,1.1361111111111113,1.2142857142857144,1.3258064516129033,38,35,36,35,31
14:18:00,1.27783251231527,1.1500000000000001,1.108571428571429,1.1333333333333335,1.1885714285714286,1.4064516129032258,38,35,36,35,31
14:19:00,1.322167487684728,1.205263157894737,1.1914285714285717,1.1305555555555555,1.1714285714285717,1.4741935483870972,38,35,36,35,31
14:20:00,1.284653465346534,1.131578947368421,1.1600000000000001,1.1305555555555555,1.1742857142857146,1.593548387096774,38,35,36,35,31
14:21:00,1.2810945273631833,1.1500000000000004,1.2057142857142857,1.1416666666666666,1.1914285714285717,1.4266666666666667,38,35,36,35,30
14:22:00,1.3044554455445538,1.2263157894736845,1.297142857142857,1.1162162162162164,1.1857142857142857,1.4333333333333336,38,35,37,35,30
14:23:00,1.2864999999999989,1.2216216216216218,1.362857142857143,1.1243243243243244,1.1400000000000001,1.3896551724137933,37,35,37,35,29
14:24:00,1.2684999999999997,1.17027027027027,1.2542857142857142,1.1594594594594596,1.1657142857142857,1.317241379310345,37,35,37,35,29
14:25:00,1.3040201005025116,1.1891891891891895,1.34,1.1277777777777782,1.1657142857142857,1.510344827586207,37,35,36,35,29
14:26:00,1.2723618090452251,1.2162162162162165,1.3685714285714283,1.1388888888888888,1.1542857142857144,1.3448275862068966,37,35,36,35,29
14:27:00,1.2653266331658282,1.135135135135135,1.268571428571429,1.127777777777778,1.1371428571428572,1.4517241379310348,37,35,36,35,29
14:28:00,1.2814070351758788,1.1945945945945948,1.2514285714285713,1.1138888888888892,1.142857142857143,1.396551724137931,37,35,36,35,29
14:29:00,1.3119999999999994,1.2432432432432432,1.322857142857143,1.1444444444444448,1.12,1.5499999999999998,37,35,36,35,30
14:30:00,1.296999999999999,1.137837837837838,1.334285714285714,1.1305555555555555,1.1542857142857148,1.5033333333333336,37,35,36,35,30
14:31:00,1.3129353233830834,1.1783783783783783,1.2971428571428574,1.1472222222222224,1.122857142857143,1.5833333333333333,37,35,36,35,30
14:32:00,1.3545000000000003,1.1864864864864864,1.382857142857143,1.1749999999999998,1.1714285714285717,1.5413793103448272,37,35,36,35,29
14:33:00,1.3686567164179089,1.1500000000000004,1.34,1.166666666666667,1.1971428571428575,1.5,38,35,36,35,29
14:34:00,1.337810945273631,1.2000000000000002,1.3285714285714285,1.138888888888889,1.1485714285714288,1.5965517241379314,38,35,36,35,29
